Model,Accuracy,Precision,Recall,F1 Score,Confusion Matrix
Random Forest (Original),0.7102025506376595,0.7087791063561989,0.6912689887985269,0.6999145498329837,"[[4962 1851]
 [2012 4505]]"
XGBoost (Original),0.7357839459864967,0.7514693534844669,0.6866656437010895,0.7176074406670943,"[[5333 1480]
 [2042 4475]]"
Random Forest (Tuned),0.7334583645911478,0.75016880486158,0.6819088537670708,0.7144120247568524,"[[5333 1480]
 [2073 4444]]"
XGBoost (Tuned),0.7371342835708927,0.7557290782549652,0.6831364124597207,0.7176015473887815,"[[5374 1439]
 [2065 4452]]"
